Generic_Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (Common),Side Effects (Rare),Similar Drugs,Prescription or OTC
Olmesartan,Benicar,,,,,,Hypertension,"Dizziness, fatigue","Angioedema, hyperkalemia","Losartan, Valsartan",Prescription
Omeprazole,Prilosec,,,,,,"GERD, ulcers, Zollinger-Ellison syndrome","Headache, nausea","Hypomagnesemia, C. difficile colitis","Lansoprazole, Pantoprazole",Prescription
Ondansetron,Zofran,,,,,,"Nausea and vomiting prevention (chemotherapy, post-surgery)","Headache, constipation","QT prolongation, serotonin syndrome","Granisetron, Palonosetron",Prescription
Oseltamivir,Tamiflu,,,,,,Influenza (treatment and prevention),"Nausea, vomiting","Neuropsychiatric events, severe allergic reactions","Zanamivir, Baloxavir marboxil",Prescription
Oxcarbazepine,Trileptal,,,,,,"Epilepsy (partial seizures, generalized)","Dizziness, headache","Hyponatremia, liver enzyme elevation","Carbamazepine, Lamotrigine",Prescription
Oxytocin,Pitocin,,,,,,"Labor induction, postpartum hemorrhage management","Uterine hyperstimulation, nausea","Uterine rupture, fetal distress","Misoprostol, Dinoprostone",Prescription
Palonosetron,Aloxi,,,,,,Chemotherapy-induced nausea and vomiting prevention (5-HT3 antagonist),"Headache, constipation","QT prolongation, dizziness","Granisetron, Ondansetron",Prescription
Pantoprazole,Protonix,,,,,,"GERD, Zollinger-Ellison syndrome","Headache, diarrhea","Hypomagnesemia, C. difficile colitis","Esomeprazole, Lansoprazole",Prescription
Paroxetine,Paxil,,,,,,"Depression, anxiety, panic disorder","Nausea, sexual dysfunction","Serotonin syndrome, suicidal thoughts","Sertraline, Fluoxetine",Prescription
Pegfilgrastim,Neulasta,,,,,,Chemotherapy-induced neutropenia,"Bone pain, injection site reaction","Splenic rupture, acute respiratory distress syndrome","Filgrastim, Sargramostim",Prescription
Penicillin,Penicillin VK,,,,,,Bacterial infections,"Nausea, diarrhea","Anaphylaxis, liver toxicity","Amoxicillin, Cephalexin",Prescription
Pentoxifylline,Trental,,,,,,"Intermittent claudication, vascular disease","Nausea, headache","Tachycardia, GI bleeding","Cilostazol, Aspirin",Prescription
Perindopril,Aceon,,,,,,"Hypertension, heart failure","Dizziness, headache","Angioedema, hyperkalemia","Ramipril, Lisinopril",Prescription
Phenelzine,Nardil,,,,,,"Depression, anxiety (MAOI antidepressant)","Drowsiness, weight gain","Hypertensive crisis, serotonin syndrome","Tranylcypromine, Isocarboxazid",Prescription
Phentermine,Adipex-P,,,,,,Obesity (short-term weight loss adjunct),"Insomnia, dry mouth","Increased blood pressure, palpitations","Diethylpropion, Sibutramine",Prescription
Piroxicam,Feldene,,,,,,"Pain, inflammation (NSAID)","GI upset, headache","GI bleeding, kidney impairment","Ibuprofen, Diclofenac",Prescription
Pitavastatin,Livalo,,,,,,Hyperlipidemia,"Muscle pain, constipation","Myopathy, liver toxicity","Atorvastatin, Rosuvastatin",Prescription
Polymyxin B,Polytrim,,,,,,Severe bacterial infections (often multidrug-resistant gram-negative),"Nausea, injection site pain","Nephrotoxicity, neurotoxicity","Colistin, Gentamicin",Prescription
Pomalidomide,Pomalyst,,,,,,Multiple myeloma (relapsed or refractory),"Fatigue, diarrhea","Neutropenia, thrombocytopenia","Lenalidomide, Thalidomide",Prescription
Posaconazole,Noxafil,,,,,,Fungal infections (especially in immunocompromised patients),"Nausea, headache","Hepatotoxicity, QT prolongation","Itraconazole, Voriconazole",Prescription
Pravastatin,Pravachol,,,,,,"Hyperlipidemia, cardiovascular risk reduction","Headache, rash","Muscle pain, liver dysfunction","Simvastatin, Atorvastatin",Prescription
Pregabalin,Lyrica,,,,,,"Neuropathic pain, seizures, fibromyalgia","Dizziness, weight gain","Angioedema, suicidal thoughts","Gabapentin, Carbamazepine",Prescription
Probenecid,Benemid,,,,,,"Gout (to reduce uric acid levels), enhance penicillin activity","Nausea, rash","Kidney stones, uric acid kidney stones","Allopurinol, Sulfinpyrazone",Prescription
Prochlorperazine,Compazine,,,,,,"Psychotic disorders, nausea/vomiting","Drowsiness, dizziness","Extrapyramidal symptoms, tardive dyskinesia","Haloperidol, Olanzapine",Prescription
Promethazine,Phenergan,,,,,,"Allergies, nausea/vomiting, sedation","Drowsiness, dry mouth","Respiratory depression, QT prolongation","Diphenhydramine, Hydroxyzine",Prescription
Propranolol,Inderal,,,,,,"Hypertension, arrhythmias, anxiety, migraine prevention","Fatigue, dizziness","Bradycardia, hypotension","Atenolol, Metoprolol",Prescription
Quetiapine,Seroquel,,,,,,"Schizophrenia, bipolar disorder, insomnia","Drowsiness, weight gain","Tardive dyskinesia, diabetes mellitus","Olanzapine, Risperidone",Prescription
Quinapril,Accupril,,,,,,"Hypertension, heart failure","Dizziness, cough","Angioedema, hyperkalemia","Enalapril, Lisinopril",Prescription
Quinine,Qualaquin,,,,,,Malaria (treatment and prevention),"Nausea, dizziness","Cinchonism, hemolysis (in G6PD deficiency)","Artemether, Mefloquine",Prescription
Raloxifene,Evista,,,,,,"Osteoporosis, breast cancer prevention (postmenopausal women)","Hot flashes, leg cramps","Thromboembolism, stroke","Tamoxifen, Letrozole",Prescription
Ramipril,Altace,,,,,,"Hypertension, heart failure, cardiovascular risk reduction","Dizziness, cough","Hyperkalemia, angioedema","Enalapril, Lisinopril",Prescription
Ranitidine,Zantac,,,,,,"GERD, ulcers, Zollinger-Ellison syndrome","Headache, constipation","Hepatotoxicity, C. difficile colitis","Famotidine, Omeprazole",Prescription
Repaglinide,Prandin,,,,,,Type 2 diabetes (insulin secretagogue),"Hypoglycemia, weight gain","Hepatotoxicity, allergic reactions","Nateglinide, Glimepiride",Prescription
Rifampin,Rifadin,,,,,,"Tuberculosis, prophylaxis for meningococcal disease, other bacterial infections","Nausea, rash","Hepatitis, orange-colored bodily fluids","Isoniazid, Pyrazinamide",Prescription
Rivaroxaban,Xarelto,,,,,,"Stroke prevention in atrial fibrillation, DVT/PE treatment and prevention","Bleeding, nausea","Spinal hematoma, liver dysfunction","Apixaban, Dabigatran",Prescription
Rizatriptan,Maxalt,,,,,,Acute migraine treatment,"Drowsiness, fatigue","Chest pain, serotonin syndrome","Sumatriptan, Zolmitriptan",Prescription
Ropivacaine,Naropin,,,,,,"Local anesthesia (surgical, epidural)","Nausea, dizziness","Cardiac arrhythmias, seizures","Bupivacaine, Lidocaine",Prescription
Rosiglitazone,Avandia,,,,,,Type 2 diabetes (insulin sensitizer),"Weight gain, edema","Cardiovascular events, hepatotoxicity","Pioglitazone, Metformin",Prescription
Rufinamide,Banzel,,,,,,Lennox-Gastaut syndrome (seizure treatment),"Drowsiness, headache","Liver toxicity, blood dyscrasias","Lamotrigine, Topiramate",Prescription
Salmeterol,Serevent,,,,,,"Asthma, COPD (long-acting beta-agonist)","Headache, throat irritation","Paradoxical bronchospasm, tremor","Formoterol, Albuterol",Prescription
Samelukast,Singulair,,,,,,"Asthma, allergic rhinitis, exercise-induced bronchoconstriction","Headache, throat irritation","Neuropsychiatric events (agitation, sleep disturbance)","Montelukast, Zafirlukast",Prescription
Simvastatin,Zocor,,,,,,"Hyperlipidemia, cardiovascular risk reduction","Muscle pain, GI upset","Myopathy, liver enzyme elevation","Atorvastatin, Rosuvastatin",Prescription
Sodium bicarbonate,Alka-Seltzer,,,,,,"Acid indigestion, heartburn","Belching, nausea","Metabolic alkalosis, electrolyte imbalance","Calcium carbonate, Magnesium hydroxide",Prescription
Sofosbuvir,Sovaldi,,,,,,Chronic hepatitis C (in combination with other antiviral agents),"Fatigue, headache","Hepatotoxicity, reactivation of HBV infection","Ledipasvir/sofosbuvir, Daclatasvir",Prescription
Spironolactone,Aldactone,,,,,,"Hypertension, heart failure, hyperaldosteronism, edema","Hyperkalemia, dizziness","Gynecomastia, menstrual irregularities","Eplerenone, Amiloride",Prescription
Sucralfate,Carafate,,,,,,"Peptic ulcer disease, gastric reflux disease","Constipation, nausea","Aluminum toxicity (long-term use), bezoar formation","Omeprazole, Pantoprazole",Prescription
Sumatriptan,Imitrex,,,,,,Acute treatment of migraine and cluster headaches,"Drowsiness, dizziness","Chest pain, serotonin syndrome","Rizatriptan, Zolmitriptan",Prescription
Tamsulosin,Flomax,,,,,,Benign prostatic hyperplasia (BPH),"Dizziness, headache","Retrograde ejaculation, orthostatic hypotension","Alfuzosin, Silodosin",Prescription
Telmisartan,Micardis,,,,,,"Hypertension, cardiovascular risk reduction","Dizziness, fatigue","Hyperkalemia, angioedema","Losartan, Valsartan",Prescription
Temazepam,Restoril,,,,,,Insomnia (short-term use),"Drowsiness, dizziness","Dependence, memory impairment","Lorazepam, Diazepam",Prescription
Tenofovir,Viread,,,,,,"HIV, hepatitis B","Nausea, headache","Renal toxicity, lactic acidosis","Emtricitabine, Lamivudine",Prescription
Terazosin,Hytrin,,,,,,"Hypertension, benign prostatic hyperplasia (BPH)","Dizziness, fatigue","Orthostatic hypotension, palpitations","Tamsulosin, Doxazosin",Prescription
Terbinafine,Lamisil,,,,,,"Fungal infections (onychomycosis, tinea)","GI upset, rash","Hepatotoxicity, neutropenia","Griseofulvin, Itraconazole",Prescription
Tizanidine,Zanaflex,,,,,,"Muscle spasticity, spasticity associated with MS or spinal cord injury","Drowsiness, dizziness","Hypotension, liver enzyme elevation","Baclofen, Cyclobenzaprine",Prescription
Torsemide,Demadex,,,,,,"Edema, hypertension","Dizziness, dehydration","Hypokalemia, ototoxicity","Furosemide, Bumetanide",Prescription
Tramadol,Ultram,,,,,,Moderate pain (opioid analgesic),"Nausea, dizziness","Seizures, serotonin syndrome","Hydrocodone, Oxycodone",Prescription
Travoprost,Travatan Z,,,,,,"Glaucoma, ocular hypertension","Eye irritation, redness","Darkening of iris, eyelash growth","Latanoprost, Bimatoprost",Prescription
Trolamine,Aspercreme,,,,,,"Topical pain relief (muscle pain, strains)","Skin irritation, redness","Allergic reactions, contact dermatitis","Methylsalicylate, Menthol",OTC
Trospium,Sanctura,,,,,,Overactive bladder,"Dry mouth, constipation","Blurred vision, urinary retention","Oxybutynin, Tolterodine",Prescription
Tylosin,Tylan,,,,,,Bacterial infections in livestock (veterinary use),"Nausea, abdominal pain","Anaphylaxis, liver toxicity","Erythromycin, Azithromycin",Prescription
Valacyclovir,Valtrex,,,,,,"Herpes simplex, varicella zoster, CMV","Nausea, headache","Nephrotoxicity, thrombocytopenia","Acyclovir, Famciclovir",Prescription
Valganciclovir,Valcyte,,,,,,Cytomegalovirus infections in immunocompromised patients,"Diarrhea, headache","Leukopenia, retinitis","Ganciclovir, Foscarnet",Prescription
Valsartan,Diovan,,,,,,"Hypertension, heart failure, post-MI","Dizziness, fatigue","Hyperkalemia, angioedema","Losartan, Irbesartan",Prescription
Vancomycin,Vancocin,,,,,,"Severe bacterial infections (MRSA, C. difficile)","Nausea, fever","Nephrotoxicity, red man syndrome","Linezolid, Clindamycin",Prescription
Venlafaxine,Effexor XR,,,,,,"Depression, anxiety, panic disorder, neuropathic pain","Nausea, insomnia, dizziness","Hypertension, serotonin syndrome","Duloxetine, Paroxetine",Prescription
Vilazodone,Viibryd,,,,,,"Depression, anxiety","Diarrhea, nausea","Seizures, suicidal thoughts","Sertraline, Paroxetine",Prescription
Vincristine,Oncovin,,,,,,"Leukemia, lymphoma, solid tumors","Nausea, alopecia","Peripheral neuropathy, myelosuppression","Doxorubicin, Cyclophosphamide",Prescription
Zolmitriptan,Zomig,,,,,,Acute treatment of migraines,"Dizziness, nausea","Chest pain, serotonin syndrome","Sumatriptan, Rizatriptan",Prescription
Zolpidem,Ambien,,,,,,Insomnia,"Drowsiness, headache","Sleepwalking, memory loss, dizziness","Eszopiclone, Temazepam",Prescription
Zidovudine,Retrovir,,,,,,HIV-1 infection (NRTI class),"Nausea, headache","Anemia, neutropenia, liver toxicity","Lamivudine, Stavudine",Prescription
Zuclopenthixol,Clopixol,,,,,,"Schizophrenia, acute psychosis","Drowsiness, weight gain","Extrapyramidal symptoms, tardive dyskinesia","Haloperidol, Olanzapine",Prescription
Beclomethasone,Qvar,Beconase AQ,,,,,Asthma maintenance; allergic rhinitis (via nasal spray),"Hoarseness, oral thrush (inhaled); nasal irritation","Adrenal suppression, growth retardation","Fluticasone, Budesonide",Prescription
Benzocaine,Orajel,Anbesol,,,,,"Topical analgesic for oral pain (e.g., teething pain)","Temporary numbness, local irritation",Methemoglobinemia,"Lidocaine, Pramoxine",Prescription
Betamethasone,Celestone,Diprosone,,,,,Inflammatory and autoimmune conditions; topical use for skin disorders; injectable for arthritis,"Skin thinning (topical), weight gain (systemic)","Adrenal suppression, osteoporosis","Dexamethasone, Prednisone",Prescription
Budesonide,Pulmicort,Entocort,,,,,Asthma (inhaled) or inflammatory bowel disease (oral),"Hoarseness, oral thrush (inhaled); abdominal pain (oral)","Adrenal suppression, osteoporosis","Fluticasone, Beclomethasone",Prescription
Buprenorphine,Suboxone,Subutex,,,,,"Opioid dependence, pain management","Nausea, headache, constipation","Respiratory depression, hypotension","Methadone, Naloxone (combination)",Prescription
Caffeine,NoDoz,Vivarin,,,,,CNS stimulant for alertness,"Nervousness, tachycardia, insomnia",Gastrointestinal upset,"Modafinil, Amphetamine",Prescription
Calcitonin,Miacalcin,Fortical,,,,,Osteoporosis and hypercalcemia management,"Nausea, facial flushing, injection site pain","Hypersensitivity, severe nausea","Bisphosphonates, Teriparatide",Prescription
Calcium carbonate,Tums,Caltrate,,,,,Calcium supplementation; antacid,"Constipation, gas","Hypercalcemia, kidney stones",Magnesium hydroxide,Prescription
Cefazolin,Ancef,Kefzol,,,,,"Surgical prophylaxis; skin, bone, and urinary infections","Injection site reaction, rash","Seizures (high doses), hypersensitivity","Ceftriaxone, Cephalexin",Prescription
Ceftazidime,Fortaz,Tazicef,,,,,Pseudomonal and other gram-negative infections,"Injection site pain, GI upset","Encephalopathy, thrombocytopenia","Cefepime, Piperacillin-tazobactam",Prescription
Cefuroxime,Ceftin,Zinacef,,,,,"Pharyngitis, sinusitis, skin infections","Diarrhea, nausea, rash","Serum sickness, seizures","Cefprozil, Cephalexin",Prescription
Chlorthalidone,Hygroton,Thalitone,,,,,"Hypertension, edema","Dizziness, hypokalemia","Electrolyte disturbances, pancreatitis","Hydrochlorothiazide, Indapamide",Prescription
Cholestyramine,Questran,Prevalite,,,,,"Hyperlipidemia, pruritus due to partial biliary obstruction","Constipation, bloating","Vitamin deficiencies (fat-soluble), GI obstruction","Colestipol, Colesevelam",Prescription
Ciprofloxacin,Cipro,Proquin XR,,,,,"Broad-spectrum antibiotic (UTIs, GI infections, etc.)","Nausea, rash, tendon pain","Tendon rupture, QT prolongation","Levofloxacin, Moxifloxacin",Prescription
Cladribine,Leustatin,Mavenclad,,,,,Hairy cell leukemia; relapsing MS (Mavenclad),"Fatigue, infections","Lymphopenia, neurotoxicity","Fludarabine, Mitoxantrone",Prescription
Clobazam,Onfi,Sympazan,,,,,Lennox-Gastaut syndrome (seizures),"Drowsiness, lethargy","Respiratory depression, dependence","Clonazepam, Diazepam",Prescription
Clomiphene,Clomid,Serophene,,,,,Ovulation induction in infertility,"Hot flashes, bloating","Ovarian hyperstimulation, visual disturbances","Letrozole, Gonadotropins",Prescription
Clonidine,Catapres,Kapvay,,,,,"Hypertension, ADHD (Kapvay), opioid withdrawal","Dry mouth, drowsiness","Bradycardia, rebound hypertension","Guanfacine, Methyldopa",Prescription
Colchicine,Colcrys,Mitigare,,,,,"Gout flares, familial Mediterranean fever","Diarrhea, nausea","Myelosuppression, neuromyopathy","Allopurinol, NSAIDs",Prescription
Cyclophosphamide,Cytoxan,Neosar,,,,,"Cancers (lymphoma, breast) and autoimmune diseases","Nausea, alopecia, myelosuppression","Hemorrhagic cystitis, infertility","Ifosfamide, Methotrexate",Prescription
Cytarabine,Cytosar-U,DepoCyt,,,,,"Leukemias (AML), lymphomas","Nausea, myelosuppression","Cerebellar toxicity, conjunctivitis","Azacitidine, Fludarabine",Prescription
Deferasirox,Exjade,Jadenu,,,,,Iron overload due to transfusions,"Abdominal pain, increased creatinine","Renal failure, hepatic toxicity","Deferiprone, Deferoxamine",Prescription
Denosumab,Prolia,Xgeva,,,,,"Osteoporosis, bone metastases","Hypocalcemia, fatigue","Osteonecrosis of the jaw, atypical femur fractures","Zoledronic acid, Alendronate",Prescription
Desonide,DesOwen,Verdeso,,,,,Mild inflammatory skin conditions,"Burning, stinging","Skin atrophy, HPA axis suppression","Hydrocortisone, Fluocinolone",Prescription
Dextromethorphan,Delsym,Robitussin DM,,,,,Cough suppressant,"Drowsiness, nausea","Serotonin syndrome, hallucinations","Codeine, Benzonatate",Prescription
Diazepam,Valium,Diastat,,,,,"Anxiety, seizures, muscle spasms","Drowsiness, fatigue","Dependence, respiratory depression","Lorazepam, Clonazepam",Prescription
Digoxin,Lanoxin,Digitek,,,,,"Heart failure, atrial fibrillation","Nausea, fatigue, visual disturbances","Arrhythmias, toxicity with narrow therapeutic index","Digitoxin, Amiodarone",Prescription
Dihydroergotamine,Migranal,D.H.E. 45,,,,,Acute migraine treatment,"Nausea, dizziness","Vasospasm, hypertension","Sumatriptan, Ergotamine",Prescription
Dipyridamole,Persantine,Aggrenox,,,,,"Stroke prevention (with aspirin), cardiac stress testing","Headache, dizziness","Hypotension, angina","Clopidogrel, Aspirin",Prescription
Doxepin,Silenor,Sinequan,,,,,"Depression, anxiety, insomnia, pruritus (topical)","Sedation, dry mouth","Seizures, urinary retention","Amitriptyline, Trazodone",Prescription
Doxylamine,Unisom,Diclegis,,,,,"Insomnia, nausea/vomiting in pregnancy (with pyridoxine)","Drowsiness, dry mouth","Confusion, hallucinations","Diphenhydramine, Hydroxyzine",OTC
Dronabinol,Marinol,Syndros,,,,,"Chemotherapy-induced nausea, appetite stimulation in AIDS","Euphoria, dizziness","Psychosis, hypotension","Nabilone, Megestrol",Prescription
Drospirenone,Yaz,Yasmin,,,,,Oral contraceptive (with ethinyl estradiol),"Nausea, breast tenderness","Thromboembolism, hyperkalemia","Norgestimate, Desogestrel",Prescription
Edrophonium,Enlon,Tensilon,,,,,Myasthenia gravis diagnosis; reversal of neuromuscular blockade,"Bradycardia, GI upset","Seizures, respiratory distress","Neostigmine, Pyridostigmine",Prescription
Enalapril,Vasotec,Epaned,,,,,"Hypertension, heart failure","Cough, dizziness","Angioedema, hyperkalemia","Lisinopril, Ramipril",Prescription
Epoprostenol,Flolan,Veletri,,,,,Pulmonary arterial hypertension,"Jaw pain, flushing","Bleeding, hypotension","Treprostinil, Iloprost",Prescription
Etoposide,Toposar,VePesid,,,,,"Testicular cancer, small cell lung cancer","Myelosuppression, alopecia","Hypotension (rapid infusion), secondary leukemia","Cisplatin, Bleomycin",Prescription
Exenatide,Byetta,Bydureon,,,,,Type 2 diabetes mellitus,"Nausea, injection site reactions","Pancreatitis, thyroid tumors","Liraglutide, Semaglutide",Prescription
Finasteride,Proscar,Propecia,,,,,"BPH, male pattern baldness","Decreased libido, erectile dysfunction","Breast tenderness, high-grade prostate cancer",Dutasteride,Prescription
Fluocinolone,Synalar,Retisert,,,,,"Dermatitis, psoriasis; eye implants for uveitis","Burning, skin thinning","HPA axis suppression, increased IOP","Triamcinolone, Dexamethasone",Prescription
Fluocinonide,Lidex,Vanos,,,,,Inflammatory skin disorders,"Burning, itching","Skin atrophy, adrenal suppression","Clobetasol, Halobetasol",Prescription
Fluorometholone,FML,Flarex,,,,,Ocular inflammation (corticosteroid eye drops),"Blurred vision, stinging","Elevated IOP, glaucoma, cataracts","Prednisolone acetate, Loteprednol",Prescription
Fluorouracil,Adrucil,Efudex,,,,,"Cancers (colorectal, breast); actinic keratosis (topical)","Myelosuppression, mucositis","Cardiotoxicity, cerebellar syndrome","Capecitabine, Methotrexate",Prescription
Fluoxetine,Prozac,Sarafem,,,,,"Depression, OCD, bulimia, PMDD","Insomnia, nausea, anxiety","Serotonin syndrome, suicidal ideation","Sertraline, Escitalopram",Prescription
Flurbiprofen,Ansaid,Ocufen,,,,,Arthritis (oral); ocular inflammation (ophthalmic),"GI upset, headache (oral); burning (ophthalmic)","GI bleeding, corneal thinning (ophthalmic)","Diclofenac, Ketorolac",Prescription
Folic acid,Folvite,FA-8,,,,,"Folate deficiency, pregnancy supplementation","Rash, bad taste","Seizures (very rare, high dose)","Folinic acid, B12",OTC
Formoterol,Foradil,Perforomist,,,,,"Asthma, COPD (long-acting beta-agonist)","Tremor, headache","Paradoxical bronchospasm, QT prolongation","Salmeterol, Indacaterol",Prescription
Gabapentin,Neurontin,Gralise,,,,,"Neuropathic pain, partial seizures, fibromyalgia (off-label)","Dizziness, fatigue","Behavioral changes, peripheral edema","Pregabalin, Carbamazepine",Prescription
Gatifloxacin,Zymar,Tequin,,,,,Bacterial conjunctivitis (ophthalmic); systemic form withdrawn in U.S.,Eye irritation (ophthalmic),"Dysglycemia, arrhythmias (systemic)","Moxifloxacin, Levofloxacin",Prescription
Glatiramer acetate,Copaxone,Glatopa,,,,,Relapsing multiple sclerosis,"Injection site reaction, flushing","Lipoatrophy, chest pain",Interferon beta-1a,Prescription
Glycopyrrolate,Robinul,Cuvposa,,,,,"Drooling, peptic ulcers, IBS (anticholinergic)","Dry mouth, constipation","Urinary retention, blurred vision","Hyoscyamine, Atropine",Prescription
Granisetron,Kytril,Sancuso,,,,,Chemotherapy/radiation-induced nausea and vomiting,"Headache, constipation","QT prolongation, serotonin syndrome","Ondansetron, Palonosetron",Prescription
Griseofulvin,Gris-PEG,Grifulvin V,,,,,"Dermatophytosis (skin, hair, nails)","Headache, GI upset","Hepatotoxicity, photosensitivity","Terbinafine, Itraconazole",Prescription
Guanfacine,Intuniv,Tenex,,,,,"ADHD (Intuniv), hypertension (Tenex)","Drowsiness, dry mouth","Bradycardia, hypotension","Clonidine, Atomoxetine",Prescription
Halobetasol,Ultravate,Bryhali,,,,,Very high-potency topical corticosteroid,"Burning, stinging","HPA axis suppression, skin atrophy","Clobetasol, Betamethasone",Prescription
Hydrochlorothiazide,Microzide,Hydrodiuril,,,,,"Hypertension, edema","Hypokalemia, dizziness","Hyperuricemia, hyperglycemia","Chlorthalidone, Indapamide",Prescription
Hydromorphone,Dilaudid,Exalgo,,,,,Moderate to severe pain,"Sedation, nausea","Respiratory depression, tolerance/dependence","Morphine, Fentanyl",Prescription
Granisetron,Kytril,Sancuso,,,,,Chemotherapy-induced nausea and vomiting (CINV),"Headache, constipation","QT prolongation, serotonin syndrome","Ondansetron, Palonosetron",Prescription
Guanfacine,Tenex,Intuniv,,,,,"ADHD (extended release), hypertension (immediate release)","Drowsiness, dry mouth","Hypotension, bradycardia","Clonidine, Guanfacine",Prescription
Hydrocortisone,Cortef,Solu-Cortef,,,,,"Inflammatory disorders, adrenal insufficiency (oral or IV)","Weight gain, fluid retention","Hypokalemia, adrenal suppression","Prednisone, Methylprednisolone",Prescription
Hydroxyzine,Atarax,Vistaril,,,,,"Anxiety, nausea, pruritus, sedation","Drowsiness, dry mouth","Urinary retention, confusion","Diphenhydramine, Lorazepam",Prescription
Ibuprofen,Advil,Motrin,,,,,"Pain, inflammation, fever (NSAID)","GI upset, headache","Peptic ulcer disease, GI bleeding","Naproxen, Diclofenac",OTC
Immune globulin,Gamunex,Gammagard,,,,,"Primary immunodeficiencies, autoimmune diseases","Injection site reaction, headache","Anaphylaxis, renal failure",Intravenous immunoglobulin,Prescription
Insulin (various),Humulin R,Novolin R,,,,,Diabetes mellitus (type 1 and type 2),"Hypoglycemia, weight gain","Lipodystrophy, insulin resistance","Lispro, Glargine",Prescription
Labetalol,Trandate,Normodyne,,,,,"Hypertension, heart failure","Dizziness, fatigue","Orthostatic hypotension, bronchospasm","Metoprolol, Carvedilol",Prescription
Leuprolide,Lupron,Eligard,,,,,"Prostate cancer, endometriosis, fibroids","Hot flashes, injection site reaction","Tumor flare, bone thinning","Goserelin, Triptorelin",Prescription
Lidocaine,Xylocaine,Lidoderm,,,,,"Local anesthesia, antiarrhythmic agent","Nausea, dizziness","Cardiac arrhythmias, seizures","Bupivacaine, Ropivacaine",Prescription
Lisinopril,Prinivil,Zestril,,,,,"Hypertension, heart failure","Dizziness, headache","Angioedema, hyperkalemia","Enalapril, Ramipril",Prescription
Lithium,Lithobid,Eskalith,,,,,Bipolar disorder,"Tremor, weight gain","Nephrogenic diabetes insipidus, thyroid dysfunction","Valproic acid, Lamotrigine",Prescription
Mesalamine,Asacol,Pentasa,,,,,"Inflammatory bowel diseases (ulcerative colitis, Crohn's)","Nausea, abdominal pain","Kidney toxicity, liver toxicity","Sulfasalazine, Budesonide",Prescription
Methylprednisolone,Medrol,Depo-Medrol,,,,,"Inflammatory conditions, allergies, skin disorders","Weight gain, insomnia","Adrenal suppression, gastrointestinal bleeding","Prednisone, Dexamethasone",Prescription
Methotrexate,Rheumatrex,Trexall,,,,,"Cancer, rheumatoid arthritis, psoriasis","Nausea, fatigue","Hepatotoxicity, myelosuppression","Azathioprine, Cyclophosphamide",Prescription
Metronidazole,Flagyl,MetroGel,,,,,"Bacterial infections (anaerobic), trichomoniasis","Nausea, metallic taste","Seizures, peripheral neuropathy","Clindamycin, Tinidazole",Prescription
Minocycline,Minocin,Dynacin,,,,,"Bacterial infections, acne, rosacea","Dizziness, nausea","Hypersensitivity, permanent pigmentation","Tetracycline, Doxycycline",Prescription
Mometasone,Nasonex,Asmanex,,,,,"Allergic rhinitis, asthma (inhaled corticosteroid)","Nasal irritation, headache","Oral thrush, growth suppression (in children)","Fluticasone, Beclomethasone",Prescription
Morphine,MS Contin,Kadian,,,,,Severe pain (opioid analgesic),"Constipation, sedation","Respiratory depression, dependence","Hydrocodone, Oxycodone",Prescription
Moxifloxacin,Avelox,Vigamox,,,,,"Bacterial infections (respiratory, skin)","Nausea, headache","QT prolongation, C. difficile-associated diarrhea","Levofloxacin, Ciprofloxacin",Prescription
Naproxen,Aleve,Naprosyn,,,,,"Pain, inflammation, fever (NSAID)","GI upset, headache","GI bleeding, renal impairment","Ibuprofen, Diclofenac",Prescription
Naltrexone,ReVia,Vivitrol,,,,,Opioid and alcohol dependence treatment,"Nausea, headache","Hepatotoxicity, withdrawal syndrome","Naloxone, Buprenorphine",Prescription
Niacin,Niaspan,Slo-Niacin,,,,,"Hyperlipidemia, niacin deficiency (pellagra)","Flushing, headache","Hepatotoxicity, hyperglycemia","Fenofibrate, Simvastatin",Prescription
Nifedipine,Procardia,Adalat,,,,,"Hypertension, angina","Edema, headache","Reflex tachycardia, gingival hyperplasia","Amlodipine, Felodipine",Prescription
Nitroglycerin,Nitrostat,Nitro-Dur,,,,,Angina (short-acting); heart failure (long-acting),"Headache, dizziness","Hypotension, tachycardia","Isosorbide dinitrate, Hydralazine",Prescription
Olanzapine,Zyprexa,Zyprexa Relprevv,,,,,"Schizophrenia, bipolar disorder","Weight gain, sedation","Hyperglycemia, tardive dyskinesia","Risperidone, Quetiapine",Prescription
Omega-3 fatty acids,Lovaza,Vascepa,,,,,Hypertriglyceridemia,"Fishy aftertaste, nausea","Bleeding, impaired platelet aggregation","Epanova, Icosapent ethyl",Prescription
Oxycodone,OxyContin,Roxicodone,,,,,Moderate to severe pain (opioid analgesic),"Constipation, nausea","Respiratory depression, dependence","Hydrocodone, Morphine",Prescription
Paracetamol,Tylenol,Panadol,,,,,"Pain relief, fever reduction","Nausea, rash","Hepatotoxicity, allergic reactions","Ibuprofen, Aspirin",OTC
Permethrin,Nix,Elimite,,,,,"Head lice, scabies","Skin irritation, itching","Neurotoxicity, allergic reactions","Ivermectin, Benzyl alcohol",Prescription
Phenytoin,Dilantin,Phenytek,,,,,Epilepsy (seizure treatment),"Dizziness, nausea","Gingival hyperplasia, hepatotoxicity","Carbamazepine, Lamotrigine",Prescription
